Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,OEM Part Number,Duplicate Part Number
AIR FILTER ELEMENT E37 TO E45,Filter,E3.3745.0,,Pieces,9,Mann,,20-09-2021,15,Tax 5%,5,Inclusive,25,10,,10431120,C 16 400
AIRFILTER ELEMENT E18 TO E22,Filter,E3.1822.0,,Pieces,11,Mann,,21-09-2021,10,Tax 5%,5,Inclusive,20,10,,B005700770005,C 14 200
AIRFILTER ELEMENT E18 TO E22,Filter,E3.1822.0,,Pieces,1,ELGI,,22-09-2021,10,Tax 5%,5,Inclusive,20,10,,B005700770005,
AIR FILTER ELEMENT EN11,Filter,E3.1911.1,,Pieces,1,ELGI,,23-09-2021,5,Tax 5%,5,Inclusive,10,10,,B005705760002,
AIR FILTER ELEMENT EN5,Filter,E3.1905.1,,Pieces,1,ELGI,,24-09-2021,4,Tax 5%,5,Inclusive,8,10,,B005705760001,
AIRFILTER ELEMENT E11TO15,Filter,E3.1115.0,,Pieces,1,Mann,,25-09-2021,6,Tax 5%,5,Inclusive,12,10,,B005700770004,C 11 100
OIL FILTER ELEMENT-75 LPM,Filter,E4.1155.0,,Pieces,85,Mann,,26-09-2021,8,Tax 5%,5,Inclusive,16,10,,B004800770001,W 962
Oil filter EN5,Filter,E4.1905.1,,Pieces,1,ELGI,,27-09-2021,3,Tax 5%,5,Inclusive,6,10,,B004800610005,
Oil filter EN11,Filter,E4.1911.1,,Pieces,1,ELGI,,28-09-2021,5,Tax 5%,5,Inclusive,10,10,,B004800610004,
Oil separator E18TOE22,Filter,E5.1822.0,,Pieces,2,ELGI,,29-09-2021,8,Tax 5%,5,Inclusive,16,10,,0 10350060,
Oil separator EG15 TO EG22,Filter,E5.1522.2,,Pieces,1,ELGI,,30-09-2021,30,Tax 5%,5,Inclusive,50,10,,B0067007700010,
