Item Name,Category Name,Duplicate part no,OEM part no,Item code,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode
AIR FILTER ELEMENT E37 TO E45,Filter,C 16 400,010431120,E3.3745.0,,Pieces,9,Mann,,20/09/2021,15,VAT 5%,5,Inclusive,25,,
AIRFILTER ELEMENT E18 TO E22,Filter,C 14 200,B005700770005,E3.1822.0,,Pieces,11,Mann,,20/09/2021,10,VAT 5%,5,,20,,
AIRFILTER ELEMENT E18 TO E22,Filter,,B005700770005,E3.1822.0,,Pieces,1,ELGI,,20/09/2021,10,VAT 5%,5,,20,,
AIR FILTER ELEMENT EN11,Filter,,B005705760002,E3.1911.1,,Pieces,1,ELGI,,20/09/2021,5,VAT 5%,5,,10,,
AIR FILTER ELEMENT EN5,Filter,,B005705760001,E3.1905.1,,Pieces,1,ELGI,,20/09/2021,4,VAT 5%,5,,8,,
AIRFILTER ELEMENT E11TO15,Filter,C 11 100,B005700770004,E3.1115.0,,Pieces,1,Mann,,20/09/2021,6,VAT 5%,5,,12,,
OIL FILTER ELEMENT-75 LPM,Filter,W 962,B004800770001,E4.1155.0,,Pieces,85,Mann,,20/09/2021,8,VAT 5%,5,,16,,
Oil filter EN5,Filter,,B004800610005,E4.1905.1,,Pieces,1,ELGI,,20/09/2021,3,VAT 5%,5,,6,,
Oil filter EN11,Filter,,B004800610004,E4.1911.1,,Pieces,1,ELGI,,20/09/2021,5,VAT 5%,5,,10,,
Oil separator E18TOE22,Filter,,0 10350060,E5.1822.0,,Pieces,2,ELGI,,20/09/2021,8,VAT 5%,5,,16,,
Oil separator EG15 TO EG22,Filter,,B0067007700010,E5.1522.2,,Pieces,1,ELGI,,20/09/2021,30,VAT 5%,5,,50,,
,,,,,,,,,,,,,,,,,
