Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,OEM Part Number,Duplicate Part Number
AIR FILTER ELEMENT E37 TO E45,Filters,E3.3745.0,,Pieces,9,Mann,,20/09/2021,12.526,VAT 5%,5,Inclusive,16.911,,,10431120,C 16 400
AIRFILTER ELEMENT E18 TO E22,Filters,E3.1822.0,,Pieces,12,Mann,,20/09/2021,9.579,VAT 5%,5,,12.932,,,B005700770005,C 14 200
AIR FILTER ELEMENT EN11,Filters,E3.1911.1,,Pieces,1,ELGI,,20/09/2021,2.211,VAT 5%,5,,2.984,,,B005705760002,
AIR FILTER ELEMENT EN5,Filters,E3.1905.1,,Pieces,1,ELGI,,20/09/2021,3.132,VAT 5%,5,,4.228,,,B005705760001,
AIR FILTER ELEMENT E11 t0 E 22,Filters,,,,,,,20/09/2021,13.632,VAT 5%,5,,18.403,,,10430150,
AIR FILTER ELEMENT E55 ,Filters,E3.1955.0,,Pieces,,Mann,,20/09/2021,0.000,VAT 5%,5,,0.000,,,B005700770007,C 20 500
AIR FILTER ELEMENT E75 with fan,Filters,,,,,,,20/09/2021,37.579,VAT 5%,5,,50.732,,,B574607(fan),
AIRFILTER ELEMENT E11TO15,Filters,E3.1115.0,,Pieces,1,Mann,,20/09/2021,2.947,VAT 5%,5,,3.979,,,B005700770004,C 11 100
OIL FILTER ELEMENT E11-E90,Filters,E4.1155.0,,Pieces,154,Mann,,20/09/2021,0.000,VAT 5%,5,,0.000,,,B004800770001,W 962
Oil filter EN5,Filters,E4.1905.1,,Pieces,1,ELGI,,20/09/2021,4.237,VAT 5%,5,,5.720,,,B004800610005,
Oil filter E75 to E110,Filters,,,,,,,20/09/2021,16.211,VAT 5%,5,,21.884,,,B407701,
Oil filter EN11,Filters,E4.1911.1,,Pieces,1,ELGI,,20/09/2021,0.000,VAT 5%,5,,0.000,,,B004800610004,
Oil separator E18TOE22,Filters,E5.1822.0,,Pieces,2,ELGI,,20/09/2021,26.526,VAT 5%,5,,35.811,,,0 10350060,
Air oil separator E75,Filters,,,,,,,20/09/2021,75.158,VAT 5%,5,,101.463,,,B006700770007,
Oil separator EN02 to EN7.5,Filters,,,,,,,20/09/2021,0.000,VAT 5%,5,,0.000,,,,LB719/2
Oil separator E30 to E45,Filters,,,,,,,20/09/2021,38.684,VAT 5%,5,,52.224,,,010451050,
Oil separator EG75,Filters,,,,,,,20/09/2021,92.105,VAT 5%,5,,124.342,,,B006700770027,
Element separator E55,Filters,,,,,,,20/09/2021,44.211,VAT 5%,5,,59.684,,,10452250,
Oil separator EG15 TO EG22,Filters,E5.1522.2,,Pieces,1,ELGI,,20/09/2021,35.368,VAT 5%,5,,47.747,,,B0067007700010,LB 13 145/3
Belt High pressure,Belt,,,Pieces,1,TPB,,20/09/2021,0.000,VAT 5%,5,,0.000,,,,2319
Belt TS 15,Belt,,,Pieces,4,TPB,,20/09/2021,0.000,VAT 5%,5,,0.000,,,905433,C 2088LP/C 80
V-Belt B76 TS 07,Belt,,,Pieces,,Oman,,20/09/2021,0.000,VAT 5%,5,,0.000,,,905275,
V-Belt B78 TS 10,Belt,,,Pieces,,Oman,,20/09/2021,0.000,VAT 5%,5,,0.000,,,905277,
